# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs2527270896	7938229	single nucleotide variant	TNFRSF9 and 1 more	,nonsense (stop gained)	pathogenic				
rs754024907	7939894	single nucleotide variant	TNFRSF9 and 1 more	splice donor variant	pathogenic			T=2.48098e-05	
rs74315351	7962863	single nucleotide variant	PARK7 and 1 more	,missense variant	pathogenic				12953260,22492997,28296894
rs374429170	7962867	single nucleotide variant	PARK7 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			A=8.2371e-06	
rs137853051	7965348	single nucleotide variant	PARK7 and 2 more	,missense variant	pathogenic				16632486
rs1553122918	7965366	single nucleotide variant	PARK7 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs74315353	7965425	single nucleotide variant	PARK7 and 2 more	,missense variant,synonymous variant	pathogenic				15365989
rs1252815484	7970963	single nucleotide variant	PARK7 and 1 more	,missense variant	pathogenic				
rs74315354	7984971	single nucleotide variant	PARK7 and 2 more	,missense variant	pathogenic			A=2.47162e-05	16240358
rs28938172	7984981	single nucleotide variant	PARK7 and 1 more	,missense variant	pathogenic				12446870,20639397,22492997,31051112
rs1158166019	8356130	single nucleotide variant	RERE and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2124354095	8356159	single nucleotide variant	RERE and 3 more	,missense variant	pathogenic				
rs1321809020	8358216	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				
rs751232315	8358230	single nucleotide variant	RERE and 2 more	,missense variant,synonymous variant	pathogenic			A=0.0	
rs1553154130	8358231	single nucleotide variant	RERE and 2 more	,missense variant	pathogenic				
rs1557582259	8358232	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				
rs1557582271	8358235	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				
rs1553154132	8358238	single nucleotide variant	RERE and 2 more	,missense variant	pathogenic				
rs869312871	8358242	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				26350515,27087320
rs2124359087	8358264	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				
rs2522692782	8358289	single nucleotide variant	RERE and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs878853270	8358750	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				27087320
rs1641481122	8359796	single nucleotide variant	RERE and 1 more	,nonsense (stop gained)	pathogenic				
rs878853011	8360361	single nucleotide variant	RERE and 1 more	,missense variant	pathogenic				25741868
rs774520385	9246990	single nucleotide variant	H6PD and 1 more	,nonsense (stop gained),	pathogenic			T=2.47198e-05	
rs398122817	9262261	single nucleotide variant	H6PD and 2 more	,nonsense (stop gained),5 prime UTR variant,synonymous variant	pathogenic			G=3.2431e-05	12858176,18628520
rs398122816	9262273	single nucleotide variant	H6PD and 1 more	,intron variant,synonymous variant	pathogenic				10522997,18628520
rs387907167	9263569	single nucleotide variant	H6PD and 1 more	,missense variant	pathogenic			A=1.64813e-05	12858176,18628520
rs28730670	9717608	single nucleotide variant	PIK3CD and 7 more	,missense variant,500B downstream variant,synonymous variant,	pathogenic	T=0.00758786		T=0.00160724	24165795
rs587777390	9719924	single nucleotide variant	PIK3CD and 3 more	,missense variant,2KB upstream variant,	pathogenic				24610295
rs2100954909	9720790	single nucleotide variant	PIK3CD and 2 more	,missense variant	pathogenic				
rs2100954945	9720791	single nucleotide variant	PIK3CD and 2 more	,missense variant	pathogenic				
rs1557669079	9720794	single nucleotide variant	PIK3CD and 1 more	,missense variant	pathogenic				
rs2100976217	9722080	single nucleotide variant	PIK3CD and 1 more	,nonsense (stop gained),,	pathogenic				
rs1649753771	9726957	single nucleotide variant	PIK3CD and 1 more	,nonsense (stop gained),	pathogenic				
rs397518423	9726972	single nucleotide variant	PIK3CD and 1 more	,missense variant,	pathogenic				16984281,24136356,24165795,24610295,25741868
rs1064795762	9726985	single nucleotide variant	PIK3CD and 1 more	,missense variant,	pathogenic				
rs1175912276	9943503	single nucleotide variant	NMNAT1 and 5 more	5 prime UTR variant,intron variant,2KB upstream variant,,	pathogenic				
rs756649389	9972074	single nucleotide variant	NMNAT1 and 3 more	,missense variant	pathogenic				
rs387907294	9972098	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic				22842227
rs138613460	9972110	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic	A=0.00119808		A=0.000205988	22842227,22842229,22842230
rs748902766	9972126	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic			G=8.23873e-06	25741868
rs1204470176	9975590	single nucleotide variant	NMNAT1 and 2 more	splice acceptor variant	pathogenic				
rs1017147686	9975641	single nucleotide variant	NMNAT1 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs763325435	9975672	single nucleotide variant	NMNAT1 and 2 more	,missense variant	pathogenic			T=0.000131815	
rs756903689	9975675	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic			T=8.23818e-06	
rs372066126	9975681	single nucleotide variant	NMNAT1 and 2 more	,missense variant	pathogenic			G=8.23805e-06	
rs986437232	9975721	single nucleotide variant	NMNAT1 and 2 more	,missense variant	pathogenic				
rs2522248595	9975730	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained)	pathogenic				
rs2101701634	9975731	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained)	pathogenic				
rs1271498710	9975747	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic				
rs1641792929	9975751	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained)	pathogenic				
rs771336246	9975769	single nucleotide variant	NMNAT1 and 1 more	,missense variant	pathogenic			G=3.34549e-05	
rs1641936336	9981050	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained)	pathogenic				
rs1641937559	9981107	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained)	pathogenic				
rs1641939338	9981171	single nucleotide variant	NMNAT1 and 3 more	splice donor variant	pathogenic				
rs1641939445	9981175	single nucleotide variant	NMNAT1 and 2 more	intron variant	pathogenic				
rs387907293	9982318	single nucleotide variant	NMNAT1 and 2 more	,missense variant,intron variant,	pathogenic			G=8.40138e-06	22842231
rs1405020783	9982361	single nucleotide variant	NMNAT1 and 2 more	,missense variant,intron variant,	pathogenic				
rs371526758	9982368	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained),intron variant,	pathogenic			A=1.6481e-05	
rs142968179	9982480	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic			T=1.64734e-05	22842229,22842230
rs1641970512	9982490	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic				
rs1345605596	9982504	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained),intron variant,	pathogenic				
rs1025005830	9982509	single nucleotide variant	NMNAT1 and 1 more	,nonsense (stop gained),intron variant,	pathogenic				
rs751644763	9982541	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic			A=8.23968e-06	
rs375110174	9982570	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic			T=7.4206e-05	
rs368062092	9982571	single nucleotide variant	NMNAT1 and 2 more	,missense variant,intron variant,	pathogenic				22842230
rs778606847	9982577	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic			C=1.64954e-05	
rs2522304453	9982582	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic				
rs150726175	9982630	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic	A=0.000199681		A=0.000614108	20301475,22842227,22842229,22842230,22842231
rs387907291	9982678	single nucleotide variant	NMNAT1 and 1 more	,missense variant,intron variant,	pathogenic			G=8.56913e-06	22842230,22842231
rs387907290	9982699	single nucleotide variant	NMNAT1 and 1 more	stop lost,,intron variant,	pathogenic				12734549,22842230
rs121908160	10258602	single nucleotide variant	KIF1B and 1 more	,missense variant	pathogenic				9409358,11389829
rs2297881	10337509	single nucleotide variant	KIF1B and 1 more	,missense variant,	pathogenic	G=0.0397364		G=0.032515	
rs370090221	10536237	single nucleotide variant	PEX14 and 1 more	,nonsense (stop gained),5 prime UTR variant	pathogenic			T=8.24457e-06	
rs61752116	10624405	single nucleotide variant	PEX14 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				15146459
rs1344522422	10660483	single nucleotide variant	CASZ1 and 2 more	,missense variant	pathogenic				
rs80356717	11018836	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				18372902,20301761
rs267607102	11022196	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				19609911
rs80356719	11022268	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic			A=8.23669e-06	18396105,20301761,28089114,28430856
rs121908395	11022278	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic				18396105
rs80356721	11022290	single nucleotide variant	TARDBP and 3 more	,missense variant,nc transcript variant	pathogenic	A=0.000199681			18309045,19236453,19695877,20301761,35260199
rs80356723	11022292	single nucleotide variant	TARDBP and 3 more	,missense variant,nc transcript variant	pathogenic				19236453,19350673,20301761
rs4884357	11022301	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic				18396105,20301761,30324134
rs80356726	11022352	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				18288693,20301761
rs80356727	11022400	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				18309045
rs80356730	11022418	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				18309045,20301761,28430856,30324134
rs80356731	11022437	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic				18438952,30324134
rs80356732	11022444	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic				
rs80356733	11022451	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				18372902,18779421,20301761
rs1131690782	11022452	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				28089114
rs80356734	11022464	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic				
rs367543041	11022553	single nucleotide variant	TARDBP and 2 more	,missense variant,nc transcript variant	pathogenic				18372902,19224587,19236453,20301761
rs80356740	11022556	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic			G=8.64917e-06	34271284,35260199
rs80356741	11022577	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic			G=8.64289e-06	
rs80356742	11022578	single nucleotide variant	TARDBP and 1 more	,missense variant,nc transcript variant	pathogenic			G=1.73028e-05	
rs387906334	11023351	single nucleotide variant	TARDBP and 1 more	3 prime UTR variant,intron variant	pathogenic				19618195
rs2521991279	11108245	single nucleotide variant	MTOR and 1 more	,nonsense (stop gained),	pathogenic				
rs968817513	11109317	single nucleotide variant	MTOR and 2 more	,missense variant,	pathogenic				
rs1085307113	11114338	single nucleotide variant	MTOR and 3 more	,missense variant,,	pathogenic				25799227
rs587777900	11114363	single nucleotide variant	MTOR and 3 more	,missense variant,nonsense (stop gained),,	pathogenic				24625776
rs1553171141	11114380	single nucleotide variant	MTOR and 3 more	,missense variant,,	pathogenic				
rs1557739557	11114402	single nucleotide variant	MTOR and 3 more	,missense variant,,	pathogenic				
rs878855328	11117039	single nucleotide variant	MTOR and 2 more	,missense variant,nc transcript variant,intron variant,	pathogenic				27830187
rs587777894	11124516	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant,	pathogenic				24631838,26018084,26619011,27159400,27830187
rs587777893	11128107	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant,	pathogenic				
rs869312666	11129789	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant,	pathogenic				27830187
rs863225264	11130747	single nucleotide variant	MTOR and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				25851998,27159400
rs869312671	11144735	single nucleotide variant	MTOR and 7 more	,missense variant,nc transcript variant,,	pathogenic				
rs1644090362	11150141	single nucleotide variant	MTOR and 1 more	,missense variant,nc transcript variant	pathogenic				
rs786205165	11157173	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant	pathogenic				25741868,26619011
rs1057519914	11157174	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant	pathogenic				26619011
rs1057519779	11157242	single nucleotide variant	MTOR and 1 more	,missense variant,nc transcript variant	pathogenic				24631838,26018084
rs1644347782	11157245	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant	pathogenic				
rs1085307114	11157255	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant	pathogenic				25878179
rs2522990355	11199327	single nucleotide variant	MTOR and 1 more	,missense variant,nc transcript variant	pathogenic				
rs778855567	11228672	single nucleotide variant	MTOR and 3 more	,missense variant,nc transcript variant	pathogenic				
rs118203945	11273836	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				3486394,9450854,15034782,17668063,17962451,18176953,23169578
rs118203950	11273866	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				17668063
rs118203947	11273886	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				17668063
rs118203951	11274042	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				3486394,18176953
rs118203948	11274055	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				15034782,17668063,18176953
rs118203946	11274060	single nucleotide variant	UBIAD1 and 1 more	,missense variant	pathogenic				17962451,18176953,23169578
rs397514669	11285644	single nucleotide variant	UBIAD1 and 1 more	,missense variant,intron variant	pathogenic				23169578
rs118203952	11285670	single nucleotide variant	UBIAD1 and 1 more	,missense variant,intron variant	pathogenic				15034782,18176953
rs118203949	11285809	single nucleotide variant	UBIAD1 and 1 more	,missense variant,intron variant	pathogenic				8190477,17668063
